[INFO 7:06:35 PM] miguelsolorio.symbols activated
[INFO 7:06:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:35 PM] symbols.files.associations changed, updating to undefined
[INFO 7:06:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:36 PM] symbols.files.associations changed, updating to undefined
[INFO 7:06:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:50 PM] symbols.files.associations changed, updating to undefined
[INFO 7:06:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:50 PM] symbols.files.associations changed, updating to undefined
[INFO 7:10:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:10:33 PM] symbols.files.associations changed, updating to undefined
[INFO 7:10:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:10:33 PM] symbols.files.associations changed, updating to undefined
[INFO 7:10:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:10:38 PM] symbols.files.associations changed, updating to undefined
[INFO 7:10:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:10:46 PM] symbols.files.associations changed, updating to undefined
[INFO 7:10:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:10:54 PM] symbols.files.associations changed, updating to undefined
[INFO 7:15:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:15:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:15:08 PM] symbols.files.associations changed, updating to undefined
[INFO 7:15:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:15:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:15:09 PM] symbols.files.associations changed, updating to undefined
[INFO 7:16:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:16:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:16:06 PM] symbols.files.associations changed, updating to undefined
[INFO 7:16:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:16:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:16:21 PM] symbols.files.associations changed, updating to undefined
[INFO 7:17:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:17:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:17:34 PM] symbols.files.associations changed, updating to undefined
[INFO 7:17:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:17:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:17:36 PM] symbols.files.associations changed, updating to undefined
[INFO 7:18:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:18:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:18:03 PM] symbols.files.associations changed, updating to undefined
[INFO 7:18:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:18:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:18:21 PM] symbols.files.associations changed, updating to undefined
[INFO 7:19:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:19:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:19:08 PM] symbols.files.associations changed, updating to undefined
[INFO 7:19:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:19:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:19:27 PM] symbols.files.associations changed, updating to undefined
[INFO 7:19:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:19:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:19:36 PM] symbols.files.associations changed, updating to undefined
[INFO 7:19:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:19:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:19:55 PM] symbols.files.associations changed, updating to undefined
[INFO 7:21:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:21:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:21:04 PM] symbols.files.associations changed, updating to undefined
[INFO 7:27:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:27:13 PM] symbols.files.associations changed, updating to undefined
[INFO 7:27:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:27:14 PM] symbols.files.associations changed, updating to undefined
[INFO 7:27:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:27:27 PM] symbols.files.associations changed, updating to undefined
[INFO 7:31:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:31:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:31:50 PM] symbols.files.associations changed, updating to undefined
[INFO 7:31:50 PM] symbols.hidesExplorerArrows changed, updating to false
