[INFO 10:47:34 AM] miguelsolorio.symbols activated
[INFO 10:47:34 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:47:34 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:47:34 AM] symbols.files.associations changed, updating to undefined
[INFO 10:47:35 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:47:35 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:47:35 AM] symbols.files.associations changed, updating to undefined
[INFO 10:48:29 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:48:29 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:48:29 AM] symbols.files.associations changed, updating to undefined
[INFO 10:48:53 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:48:53 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:48:53 AM] symbols.files.associations changed, updating to undefined
[INFO 10:48:53 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:48:53 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:48:53 AM] symbols.files.associations changed, updating to undefined
[INFO 10:48:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:48:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:48:58 AM] symbols.files.associations changed, updating to undefined
[INFO 10:48:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:48:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:48:58 AM] symbols.files.associations changed, updating to undefined
